material1,material2,pred_temp,weights
C4+,H1-,[45.9359345],[0.2 0.8]
H1+,C4-,[45.9359345],[0.8 0.2]
S3+,O0.5-,[45.8887468],[0.14285714 0.85714286]
S1+,O0.333-,[45.85340459],[0.24981245 0.75018755]
O0.333+,S1-,[45.85340459],[0.75018755 0.24981245]
S4+,O1-,[45.64059396],[0.2 0.8]
S2+,O0.5-,[45.60445501],[0.2 0.8]
O0.5+,S2-,[45.60445501],[0.8 0.2]
Kr2+,F1-,[45.59307041],[0.33333333 0.66666667]
S3+,O1-,[45.54923192],[0.25 0.75]
Se6+,F1-,[45.2665074],[0.14285714 0.85714286]
Ag2+,Bi3-,[44.96300533],[0.6 0.4]
H1+,B1-,[44.72431258],[0.5 0.5]
B1+,H1-,[44.72431258],[0.5 0.5]
I7+,F1-,[44.66853607],[0.125 0.875]
Si4+,F1-,[44.47410634],[0.2 0.8]
Se4+,F1-,[44.44627784],[0.2 0.8]
Ag2+,B3-,[44.36996702],[0.6 0.4]
Ag2+,O0.5-,[44.31736601],[0.2 0.8]
Ag2+,O0.333-,[44.30873856],[0.14273468 0.85726532]
Cu2+,O0.333-,[44.26918394],[0.14273468 0.85726532]
I5+,F1-,[44.24817778],[0.16666667 0.83333333]
Si3+,F1-,[44.18136464],[0.25 0.75]
Kr2+,O2-,[44.03294554],[0.5 0.5]
I3+,F1-,[43.90454611],[0.25 0.75]
As5+,F1-,[43.15337926],[0.16666667 0.83333333]
Cl1+,N2-,[43.1374654],[0.66666667 0.33333333]
N2+,Cl1-,[43.1374654],[0.33333333 0.66666667]
Cl1+,N3-,[43.12283057],[0.75 0.25]
N3+,Cl1-,[43.12283057],[0.25 0.75]
Cl1+,N1-,[43.11077809],[0.5 0.5]
N1+,Cl1-,[43.11077809],[0.5 0.5]
Cl2+,N2-,[42.81548864],[0.5 0.5]
Cl3+,N3-,[42.81055867],[0.5 0.5]
P1+,F1-,[42.79139293],[0.5 0.5]
As3+,F1-,[42.76582664],[0.25 0.75]
Cl2+,N3-,[42.61929329],[0.6 0.4]
Cl4+,N3-,[42.55262874],[0.42857143 0.57142857]
Be1+,F1-,[41.53391746],[0.5 0.5]
Be2+,F1-,[41.24000981],[0.33333333 0.66666667]
Ag3+,B3-,[41.037581],[0.5 0.5]
Si2+,F1-,[39.76837383],[0.33333333 0.66666667]
Si1+,F1-,[39.47857016],[0.5 0.5]
Ag3+,Po2-,[38.13495368],[0.4 0.6]
Se2+,F1-,[38.09532124],[0.33333333 0.66666667]
Xe8+,F1-,[37.93826908],[0.11111111 0.88888889]
Ag3+,Br1-,[37.68156583],[0.25 0.75]
Ag3+,B1-,[37.6286075],[0.25 0.75]
P4+,O0.333-,[37.10213445],[0.07685207 0.92314793]
P5+,O0.333-,[37.10213445],[0.0624414 0.9375586]
Xe6+,F1-,[37.06416792],[0.14285714 0.85714286]
P4+,O0.5-,[36.9498287],[0.11111111 0.88888889]
P5+,O0.5-,[36.93650614],[0.09090909 0.90909091]
Ag3+,Te2-,[36.69386697],[0.4 0.6]
As2+,F1-,[36.5209199],[0.33333333 0.66666667]
Xe4+,F1-,[36.31394733],[0.2 0.8]
P5+,O1-,[36.20794317],[0.16666667 0.83333333]
O0.333+,P3-,[36.02336471],[0.90009001 0.09990999]
P3+,O0.333-,[36.02336471],[0.09990999 0.90009001]
P2+,O0.333-,[35.88541866],[0.14273468 0.85726532]
O0.333+,P2-,[35.88541866],[0.85726532 0.14273468]
P3+,O0.5-,[35.5890121],[0.14285714 0.85714286]
O0.5+,P3-,[35.5890121],[0.85714286 0.14285714]
Ag2+,Br1-,[35.41572462],[0.33333333 0.66666667]
O0.5+,P2-,[35.27024736],[0.8 0.2]
P2+,O0.5-,[35.27024736],[0.2 0.8]
O0.333+,P1-,[35.23915873],[0.75018755 0.24981245]
P1+,O0.333-,[35.23915873],[0.24981245 0.75018755]
I1+,F1-,[35.18533977],[0.5 0.5]
P4+,O1-,[35.11513989],[0.2 0.8]
P1+,O0.5-,[35.09300294],[0.33333333 0.66666667]
O0.5+,P1-,[35.09300294],[0.66666667 0.33333333]
P2+,O1-,[34.95462293],[0.33333333 0.66666667]
O1+,P2-,[34.95462293],[0.66666667 0.33333333]
P3+,O1-,[34.82356736],[0.25 0.75]
O1+,P3-,[34.82356736],[0.75 0.25]
P5+,O2-,[34.53555183],[0.28571429 0.71428571]
P4+,O2-,[34.36282078],[0.33333333 0.66666667]
Ag2+,B1-,[34.29473414],[0.33333333 0.66666667]
Ag1+,Br1-,[33.50480097],[0.5 0.5]
Ag3+,Bi3-,[33.20242852],[0.5 0.5]
V4+,Br1-,[32.79627402],[0.2 0.8]
V5+,Br1-,[32.78289035],[0.16666667 0.83333333]
V4+,Cl1-,[32.66174181],[0.2 0.8]
As5+,Br1-,[32.52530698],[0.16666667 0.83333333]
Cl7+,C3-,[32.46502429],[0.3 0.7]
V5+,Cl1-,[32.40255876],[0.16666667 0.83333333]
Cl7+,Cl1-,[32.39375243],[0.125 0.875]
As3+,Br1-,[32.19116478],[0.25 0.75]
Br1+,As3-,[32.19116478],[0.75 0.25]
Cl6+,Cl1-,[32.15524731],[0.14285714 0.85714286]
Cl5+,Cl1-,[32.13373938],[0.16666667 0.83333333]
Br7+,C4-,[32.03360395],[0.36363636 0.63636364]
Si4+,Cl1-,[32.03300004],[0.2 0.8]
Cl1+,Si4-,[32.03300004],[0.8 0.2]
As2+,Br1-,[32.01835697],[0.33333333 0.66666667]
Cl7+,C4-,[31.91466726],[0.36363636 0.63636364]
Cl5+,C4-,[31.76315222],[0.44444444 0.55555556]
V3+,Br1-,[31.72352075],[0.25 0.75]
V5+,S1-,[31.71709826],[0.16666667 0.83333333]
Cl6+,C2-,[31.6530872],[0.25 0.75]
V2+,Br1-,[31.50417944],[0.33333333 0.66666667]
Cr4+,Cl1-,[31.49188199],[0.2 0.8]
Cr5+,Cl1-,[31.46773421],[0.16666667 0.83333333]
Cr6+,Cl1-,[31.45623837],[0.14285714 0.85714286]
Cl6+,C4-,[31.43446417],[0.4 0.6]
Cl2+,Si3-,[31.39760939],[0.6 0.4]
Si2+,Cl1-,[31.3916087],[0.33333333 0.66666667]
Cl1+,Si2-,[31.3916087],[0.66666667 0.33333333]
Cl3+,Cl1-,[31.36704921],[0.25 0.75]
Cl2+,Si4-,[31.36319817],[0.66666667 0.33333333]
Cr3+,Cl1-,[31.35763642],[0.25 0.75]
Ge2+,Br1-,[31.33449685],[0.33333333 0.66666667]
V3+,Cl1-,[31.28573236],[0.25 0.75]
Cl2+,Cl1-,[31.26330286],[0.33333333 0.66666667]
Cl1+,Si3-,[31.22247876],[0.75 0.25]
Si3+,Cl1-,[31.22247876],[0.25 0.75]
Cl4+,Cl1-,[31.17615295],[0.2 0.8]
Br7+,C3-,[31.1604913],[0.3 0.7]
Br5+,Cl1-,[31.1596212],[0.16666667 0.83333333]
