material1,material2,pred_temp,weights
S6+,O1-,[48.16156605],[0.14285714 0.85714286]
S1+,F1-,[48.12204315],[0.5 0.5]
O2+,Cl1-,[48.12204184],[0.33333333 0.66666667]
Cl1+,O2-,[48.12204184],[0.66666667 0.33333333]
Cl3+,O2-,[48.08443963],[0.4 0.6]
Cl2+,O2-,[47.98652921],[0.5 0.5]
S5+,O1-,[47.96146161],[0.16666667 0.83333333]
S4+,O1-,[47.96031665],[0.2 0.8]
B2+,H1-,[47.94433524],[0.33333333 0.66666667]
Ag3+,F1-,[47.9029902],[0.25 0.75]
O0.333+,S1-,[47.89352819],[0.75018755 0.24981245]
S1+,O0.333-,[47.89352819],[0.24981245 0.75018755]
S6+,O2-,[47.87107378],[0.25 0.75]
S3+,O1-,[47.56535587],[0.25 0.75]
B1+,O2-,[47.41353606],[0.66666667 0.33333333]
O2+,B1-,[47.41353606],[0.33333333 0.66666667]
O2+,Br1-,[47.13798509],[0.33333333 0.66666667]
Br1+,O2-,[47.13798509],[0.66666667 0.33333333]
Ag1+,O0.333-,[46.95338235],[0.24981245 0.75018755]
Cu2+,O0.5-,[46.86426871],[0.2 0.8]
Br1+,F1-,[46.69965479],[0.5 0.5]
O1+,Br1-,[46.64556936],[0.5 0.5]
Br1+,O1-,[46.64556936],[0.5 0.5]
Br3+,O2-,[46.64473173],[0.4 0.6]
H1+,B1-,[46.48115446],[0.5 0.5]
B1+,H1-,[46.48115446],[0.5 0.5]
H1+,S1-,[46.36482697],[0.5 0.5]
S1+,H1-,[46.36482697],[0.5 0.5]
Ag3+,O0.333-,[46.35987195],[0.09990999 0.90009001]
N1+,Cl1-,[46.18425265],[0.5 0.5]
Cl1+,N1-,[46.18425265],[0.5 0.5]
Cl2+,N2-,[45.56997744],[0.5 0.5]
Cl3+,N3-,[45.56997744],[0.5 0.5]
Cl1+,N2-,[45.31881133],[0.66666667 0.33333333]
N2+,Cl1-,[45.31881133],[0.33333333 0.66666667]
N3+,Cl1-,[45.14072062],[0.25 0.75]
Cl1+,N3-,[45.14072062],[0.75 0.25]
Be2+,F1-,[45.13436391],[0.33333333 0.66666667]
Ag3+,O1-,[45.08965186],[0.25 0.75]
Cl4+,N3-,[45.03175363],[0.42857143 0.57142857]
Ag3+,O0.5-,[44.78081733],[0.14285714 0.85714286]
Cl2+,N3-,[44.65883444],[0.6 0.4]
Be1+,F1-,[44.59823799],[0.5 0.5]
Kr2+,O2-,[44.57420059],[0.5 0.5]
S1+,O2-,[44.48956569],[0.66666667 0.33333333]
O2+,S1-,[44.48956569],[0.33333333 0.66666667]
P1+,F1-,[43.91298799],[0.5 0.5]
S1+,O1-,[43.65422343],[0.5 0.5]
O1+,S1-,[43.65422343],[0.5 0.5]
Ag2+,O0.5-,[43.59352441],[0.2 0.8]
S3+,O2-,[43.01930506],[0.4 0.6]
Cu2+,O0.333-,[42.92083533],[0.14273468 0.85726532]
Ag3+,Se2-,[42.85590032],[0.4 0.6]
S2+,O2-,[42.76011076],[0.5 0.5]
O2+,S2-,[42.76011076],[0.5 0.5]
Ag2+,O0.333-,[41.74120948],[0.14273468 0.85726532]
Se6+,F1-,[41.1167923],[0.14285714 0.85714286]
I7+,F1-,[40.94041016],[0.125 0.875]
Xe8+,F1-,[40.87960268],[0.11111111 0.88888889]
As5+,F1-,[40.56888988],[0.16666667 0.83333333]
As3+,F1-,[40.45724941],[0.25 0.75]
Xe4+,F1-,[40.43035393],[0.2 0.8]
Si4+,F1-,[40.42811499],[0.2 0.8]
Xe6+,F1-,[40.28522821],[0.14285714 0.85714286]
Se4+,F1-,[39.9829693],[0.2 0.8]
I5+,F1-,[39.88599965],[0.16666667 0.83333333]
Si3+,F1-,[39.68003604],[0.25 0.75]
P3+,O0.333-,[39.17302416],[0.09990999 0.90009001]
O0.333+,P3-,[39.17302416],[0.90009001 0.09990999]
Ag3+,B1-,[39.16903178],[0.25 0.75]
P5+,O0.5-,[39.08053764],[0.09090909 0.90909091]
P4+,O0.333-,[39.08053764],[0.07685207 0.92314793]
P5+,O0.333-,[39.08053764],[0.0624414 0.9375586]
Ag3+,Br1-,[38.99128995],[0.25 0.75]
P4+,O0.5-,[38.82379574],[0.11111111 0.88888889]
Ag3+,Po2-,[38.77564394],[0.4 0.6]
I3+,F1-,[38.77277075],[0.25 0.75]
Ag3+,Sb3-,[38.43045218],[0.5 0.5]
Ag2+,Br1-,[38.26472765],[0.33333333 0.66666667]
O0.5+,P3-,[37.82084515],[0.85714286 0.14285714]
O0.333+,P2-,[37.82084515],[0.85726532 0.14273468]
P2+,O0.333-,[37.82084515],[0.14273468 0.85726532]
P3+,O0.5-,[37.82084515],[0.14285714 0.85714286]
P2+,O0.5-,[37.63942014],[0.2 0.8]
O0.5+,P2-,[37.63942014],[0.8 0.2]
Ag2+,B1-,[37.4333345],[0.33333333 0.66666667]
P5+,O1-,[37.35529686],[0.16666667 0.83333333]
O0.333+,P1-,[37.3280634],[0.75018755 0.24981245]
P1+,O0.333-,[37.3280634],[0.24981245 0.75018755]
P4+,O1-,[37.30649872],[0.2 0.8]
Ag2+,Sb3-,[37.01842306],[0.6 0.4]
P3+,O1-,[36.99989108],[0.25 0.75]
O1+,P3-,[36.99989108],[0.75 0.25]
O1+,P2-,[36.97381885],[0.66666667 0.33333333]
P2+,O1-,[36.97381885],[0.33333333 0.66666667]
O0.5+,P1-,[36.97381885],[0.66666667 0.33333333]
P1+,O0.5-,[36.97381885],[0.33333333 0.66666667]
P5+,O2-,[36.27649627],[0.28571429 0.71428571]
P4+,O2-,[36.09144201],[0.33333333 0.66666667]
Ag1+,B1-,[36.04059518],[0.5 0.5]
Si2+,F1-,[35.76256896],[0.33333333 0.66666667]
Mg2+,B1-,[35.66315969],[0.33333333 0.66666667]
Ag1+,Br1-,[35.61455676],[0.5 0.5]
Si1+,F1-,[34.64794467],[0.5 0.5]
Ag3+,Te2-,[34.4864918],[0.4 0.6]
Se2+,F1-,[34.18670144],[0.33333333 0.66666667]
As2+,F1-,[34.06998795],[0.33333333 0.66666667]
Fe2+,Se2-,[33.78910132],[0.5 0.5]
Xe2+,F1-,[33.72059576],[0.33333333 0.66666667]
Ag2+,Bi3-,[32.60238482],[0.6 0.4]
Cl5+,C1-,[31.81620036],[0.16666667 0.83333333]
Ag1+,I1-,[31.67086555],[0.5 0.5]
Br5+,H1-,[30.42120521],[0.16666667 0.83333333]
Ag2+,Se2-,[30.14415497],[0.5 0.5]
I1+,F1-,[29.99600216],[0.5 0.5]
Ag3+,I1-,[29.98226197],[0.25 0.75]
Br7+,H1-,[29.88739101],[0.125 0.875]
Ag2+,I1-,[29.55958899],[0.33333333 0.66666667]
Cl6+,C1-,[29.34661764],[0.14285714 0.85714286]
Mn3+,Se2-,[28.86500462],[0.4 0.6]
Cl7+,C1-,[28.8320889],[0.125 0.875]
Mn4+,Se2-,[28.67410638],[0.33333333 0.66666667]
Ag1+,At1-,[28.58581303],[0.5 0.5]
Ag3+,Bi3-,[28.30826152],[0.5 0.5]
Kr2+,N1-,[27.88347096],[0.33333333 0.66666667]
O2+,P3-,[27.8251428],[0.6 0.4]
P3+,O2-,[27.8251428],[0.4 0.6]
P1+,O1-,[27.57094389],[0.5 0.5]
O1+,P1-,[27.57094389],[0.5 0.5]
P1+,O2-,[27.49837131],[0.66666667 0.33333333]
O2+,P1-,[27.49837131],[0.33333333 0.66666667]
Zn2+,Se2-,[27.41739765],[0.5 0.5]
Mn1+,I1-,[27.29855827],[0.5 0.5]
Ag2+,Po2-,[27.28635263],[0.5 0.5]
N2+,B3-,[27.15024458],[0.6 0.4]
B3+,N2-,[27.15024458],[0.4 0.6]
Xe8+,H1-,[27.07695496],[0.11111111 0.88888889]
B2+,N1-,[26.91190004],[0.33333333 0.66666667]
Ag2+,At1-,[26.90488514],[0.33333333 0.66666667]
N1+,B3-,[26.73302489],[0.75 0.25]
B3+,N1-,[26.73302489],[0.25 0.75]
N4+,B3-,[26.69074931],[0.42857143 0.57142857]
N3+,B3-,[26.62955715],[0.5 0.5]
B3+,N3-,[26.62955715],[0.5 0.5]
N5+,B1-,[26.52811801],[0.16666667 0.83333333]
O2+,P2-,[26.45310889],[0.5 0.5]
P2+,O2-,[26.45310889],[0.5 0.5]
Cl1+,Cl1-,[26.43167291],[0.5 0.5]
Cl4+,Cl1-,[26.32172132],[0.2 0.8]
B1+,N2-,[26.3053418],[0.66666667 0.33333333]
