material1,material2,pred_temp,weights
S2+,Si4-,[25.52025368],[0.66666667 0.33333333]
Si4+,S2-,[25.52025368],[0.33333333 0.66666667]
Br3+,S2-,[25.51999114],[0.4 0.6]
I3+,S2-,[25.50238941],[0.4 0.6]
Nd3+,Cl1-,[25.48694978],[0.25 0.75]
Nd3+,S1-,[25.42956751],[0.25 0.75]
Br3+,S1-,[25.39933275],[0.25 0.75]
I3+,Se2-,[25.32565642],[0.4 0.6]
Ni2+,S1-,[25.29869965],[0.33333333 0.66666667]
La3+,I1-,[25.28818267],[0.25 0.75]
Se2+,Se2-,[25.26569422],[0.5 0.5]
Br7+,S1-,[25.26347017],[0.125 0.875]
Tm3+,Cl1-,[25.23875837],[0.25 0.75]
Te4+,Se2-,[25.23249268],[0.33333333 0.66666667]
S2+,Ge4-,[25.19464648],[0.66666667 0.33333333]
Ge4+,S2-,[25.19464648],[0.33333333 0.66666667]
Se2+,Ge4-,[25.18169356],[0.66666667 0.33333333]
Ge4+,Se2-,[25.18169356],[0.33333333 0.66666667]
Br5+,S2-,[25.17641006],[0.28571429 0.71428571]
S2+,N1-,[25.15501471],[0.33333333 0.66666667]
Sm3+,Cl1-,[25.11330478],[0.25 0.75]
Pb4+,F1-,[25.07015373],[0.2 0.8]
I5+,Si3-,[25.06244001],[0.375 0.625]
S2+,Si3-,[25.05188222],[0.6 0.4]
I3+,Ge4-,[25.01846901],[0.57142857 0.42857143]
I3+,O0.5-,[24.98199737],[0.14285714 0.85714286]
S2+,Sn4-,[24.83070851],[0.66666667 0.33333333]
Sn4+,S2-,[24.83070851],[0.33333333 0.66666667]
Cu2+,S1-,[24.74466498],[0.33333333 0.66666667]
Pb2+,Cl1-,[24.74013387],[0.33333333 0.66666667]
Tb3+,S1-,[24.62561562],[0.25 0.75]
Dy3+,Cl1-,[24.56799845],[0.25 0.75]
P5+,C1-,[24.54823805],[0.16666667 0.83333333]
Si4+,Se2-,[24.52616063],[0.33333333 0.66666667]
Se2+,Si4-,[24.52616063],[0.66666667 0.33333333]
I5+,Si2-,[24.5097616],[0.28571429 0.71428571]
Mn7+,B1-,[24.47074599],[0.125 0.875]
I3+,Si2-,[24.46520766],[0.4 0.6]
Tb3+,Cl1-,[24.45667813],[0.25 0.75]
Pr3+,F1-,[24.45366577],[0.25 0.75]
H1+,P1-,[24.33936985],[0.5 0.5]
Al3+,B1-,[24.32040681],[0.25 0.75]
Se2+,Si3-,[24.30508502],[0.6 0.4]
S6+,N2-,[24.27594205],[0.25 0.75]
S4+,N1-,[24.26837766],[0.2 0.8]
Dy3+,F1-,[24.26662839],[0.25 0.75]
I3+,Si1-,[24.26000828],[0.25 0.75]
Pr3+,Br1-,[24.22177307],[0.25 0.75]
Nb5+,S2-,[24.22097457],[0.28571429 0.71428571]
S6+,N3-,[24.20350977],[0.33333333 0.66666667]
Pb4+,Cl1-,[24.16353127],[0.2 0.8]
S4+,N2-,[23.9750841],[0.33333333 0.66666667]
Sb3+,F1-,[23.94525432],[0.25 0.75]
As5+,H1-,[23.89621781],[0.16666667 0.83333333]
Ti4+,S2-,[23.87806633],[0.33333333 0.66666667]
